"x","y","z"
-106.816666666667,40.8,2548
-106.8,40.8,2730
-106.783333333333,40.8,2714
-106.766666666667,40.8,2644
-106.75,40.8,2782
-106.733333333333,40.8,2944
-106.716666666667,40.8,3072
-106.7,40.8,2955
-106.683333333333,40.8,3076
-106.666666666667,40.8,3254
-106.65,40.8,3178
-106.633333333333,40.8,3450
-106.616666666667,40.8,3180
-106.6,40.8,2913
-106.583333333333,40.8,2741
-106.566666666667,40.8,2613
-106.55,40.8,2543
-106.533333333333,40.8,2551
-106.516666666667,40.8,2579
-106.5,40.8,2562
-106.483333333333,40.8,2477
-106.466666666667,40.8,2472
-106.45,40.8,2474
-106.433333333333,40.8,2471
-106.416666666667,40.8,2459
-106.4,40.8,2460
-106.383333333333,40.8,2441
-106.366666666667,40.8,2418
-106.35,40.8,2426
-106.333333333333,40.8,2445
-106.316666666667,40.8,2452
-106.3,40.8,2432
-106.283333333333,40.8,2462
-106.266666666667,40.8,2464
-106.25,40.8,2446
-106.233333333333,40.8,2439
-106.216666666667,40.8,2438
-106.2,40.8,2437
-106.183333333333,40.8,2445
-106.166666666667,40.8,2471
-106.15,40.8,2468
-106.133333333333,40.8,2484
-106.116666666667,40.8,2514
-106.1,40.8,2566
-106.083333333333,40.8,2676
-106.066666666667,40.8,2897
-106.05,40.8,3105
-106.033333333333,40.8,3038
-106.016666666667,40.8,2942
-106,40.8,2988
-105.983333333333,40.8,2915
-105.966666666667,40.8,2796
-105.95,40.8,2704
-105.933333333333,40.8,2611
-105.916666666667,40.8,2604
-105.9,40.8,2586
-105.883333333333,40.8,2555
-105.866666666667,40.8,2725
-105.85,40.8,3016
-105.833333333333,40.8,3072
-105.816666666667,40.8,3030
-105.8,40.8,3040
-105.783333333333,40.8,3092
-105.766666666667,40.8,3112
-105.75,40.8,3048
-105.733333333333,40.8,3072
-105.716666666667,40.8,3024
-105.7,40.8,3001
-105.683333333333,40.8,2977
-105.666666666667,40.8,2886
-105.65,40.8,2755
-105.633333333333,40.8,2662
-105.616666666667,40.8,2594
-105.6,40.8,2567
-105.583333333333,40.8,2528
-105.566666666667,40.8,2496
-105.55,40.8,2478
-105.533333333333,40.8,2459
-105.516666666667,40.8,2423
-105.5,40.8,2356
-105.483333333333,40.8,2283
-105.466666666667,40.8,2240
-105.45,40.8,2240
-105.433333333333,40.8,2290
-105.416666666667,40.8,2258
-105.4,40.8,2190
-105.383333333333,40.8,2082
-105.366666666667,40.8,2006
-105.35,40.8,1937
-105.333333333333,40.8,1921
-105.316666666667,40.8,1882
-105.3,40.8,1835
-105.283333333333,40.8,1810
-105.266666666667,40.8,1786
-105.25,40.8,1772
-105.233333333333,40.8,1794
-105.216666666667,40.8,1822
-105.2,40.8,1820
-105.183333333333,40.8,1804
-105.166666666667,40.8,1754
-105.15,40.8,1751
-105.133333333333,40.8,1692
-105.116666666667,40.8,1688
-105.1,40.8,1695
-105.083333333333,40.8,1690
-105.066666666667,40.8,1681
-105.05,40.8,1668
-105.033333333333,40.8,1677
-105.016666666667,40.8,1677
-105,40.8,1667
-104.983333333333,40.8,1679
-104.966666666667,40.8,1678
-104.95,40.8,1703
-108.8,40.7833333333333,2050
-108.783333333333,40.7833333333333,1996
-108.766666666667,40.7833333333333,1905
-108.75,40.7833333333333,1869
-108.733333333333,40.7833333333333,1919
-108.716666666667,40.7833333333333,1965
-108.7,40.7833333333333,1915
-108.683333333333,40.7833333333333,1881
-108.666666666667,40.7833333333333,1920
-108.65,40.7833333333333,2019
-108.633333333333,40.7833333333333,2110
-108.616666666667,40.7833333333333,2111
-108.6,40.7833333333333,2043
-108.583333333333,40.7833333333333,2010
-108.566666666667,40.7833333333333,1990
-108.55,40.7833333333333,1974
-108.533333333333,40.7833333333333,1975
-108.516666666667,40.7833333333333,1962
-108.5,40.7833333333333,1947
-108.483333333333,40.7833333333333,1947
-108.466666666667,40.7833333333333,1952
-108.45,40.7833333333333,1957
-108.433333333333,40.7833333333333,1959
-108.416666666667,40.7833333333333,1958
-108.4,40.7833333333333,1953
-108.383333333333,40.7833333333333,1940
-108.366666666667,40.7833333333333,1935
-108.35,40.7833333333333,1932
-108.333333333333,40.7833333333333,1934
-108.316666666667,40.7833333333333,1960
-108.3,40.7833333333333,1981
-108.283333333333,40.7833333333333,2033
-108.266666666667,40.7833333333333,2014
-108.25,40.7833333333333,1965
-108.233333333333,40.7833333333333,1942
-108.216666666667,40.7833333333333,1883
-108.2,40.7833333333333,1884
-108.183333333333,40.7833333333333,1818
-108.166666666667,40.7833333333333,1794
-108.15,40.7833333333333,1811
-108.133333333333,40.7833333333333,1854
-108.116666666667,40.7833333333333,1888
-108.1,40.7833333333333,1918
-108.083333333333,40.7833333333333,1946
-108.066666666667,40.7833333333333,1978
-108.05,40.7833333333333,1988
-108.033333333333,40.7833333333333,1971
-108.016666666667,40.7833333333333,1968
-108,40.7833333333333,1980
-107.983333333333,40.7833333333333,1997
-107.966666666667,40.7833333333333,2018
-107.95,40.7833333333333,2050
-107.933333333333,40.7833333333333,2087
-107.916666666667,40.7833333333333,2118
-107.9,40.7833333333333,2126
-107.883333333333,40.7833333333333,2115
-107.866666666667,40.7833333333333,2110
-107.85,40.7833333333333,2119
-107.833333333333,40.7833333333333,2123
-107.816666666667,40.7833333333333,2140
-107.8,40.7833333333333,2178
-107.783333333333,40.7833333333333,2209
-107.766666666667,40.7833333333333,2201
-107.75,40.7833333333333,2147
-107.733333333333,40.7833333333333,2127
-107.716666666667,40.7833333333333,2115
-107.7,40.7833333333333,2118
-107.683333333333,40.7833333333333,2107
-107.666666666667,40.7833333333333,2156
-107.65,40.7833333333333,2152
-107.633333333333,40.7833333333333,2157
-107.616666666667,40.7833333333333,2174
-107.6,40.7833333333333,2141
-107.583333333333,40.7833333333333,2067
-107.566666666667,40.7833333333333,2048
-107.55,40.7833333333333,2041
-107.533333333333,40.7833333333333,2128
-107.516666666667,40.7833333333333,2172
-107.5,40.7833333333333,2235
-107.483333333333,40.7833333333333,2319
-107.466666666667,40.7833333333333,2427
-107.45,40.7833333333333,2560
-107.433333333333,40.7833333333333,2713
-107.416666666667,40.7833333333333,2881
-107.4,40.7833333333333,3100
-107.383333333333,40.7833333333333,3125
-107.366666666667,40.7833333333333,3152
-107.35,40.7833333333333,3022
-107.333333333333,40.7833333333333,2903
-107.316666666667,40.7833333333333,2898
-107.3,40.7833333333333,2861
-107.283333333333,40.7833333333333,2828
-107.266666666667,40.7833333333333,2931
-107.25,40.7833333333333,2985
-107.233333333333,40.7833333333333,2828
-107.216666666667,40.7833333333333,2716
-107.2,40.7833333333333,2775
-107.183333333333,40.7833333333333,2897
-107.166666666667,40.7833333333333,2727
-107.15,40.7833333333333,2576
-107.133333333333,40.7833333333333,2507
-107.116666666667,40.7833333333333,2569
-107.1,40.7833333333333,2694
-107.083333333333,40.7833333333333,2883
-107.066666666667,40.7833333333333,2907
-107.05,40.7833333333333,2837
-107.033333333333,40.7833333333333,2695
-107.016666666667,40.7833333333333,2581
-107,40.7833333333333,2537
-106.983333333333,40.7833333333333,2502
-106.966666666667,40.7833333333333,2491
-106.95,40.7833333333333,2478
-106.933333333333,40.7833333333333,2479
-106.916666666667,40.7833333333333,2447
-106.9,40.7833333333333,2547
-106.883333333333,40.7833333333333,2530
-106.866666666667,40.7833333333333,2682
-106.85,40.7833333333333,2598
-106.833333333333,40.7833333333333,2614
-106.816666666667,40.7833333333333,2540
-106.8,40.7833333333333,2690
-106.783333333333,40.7833333333333,2614
-106.766666666667,40.7833333333333,2566
-106.75,40.7833333333333,2659
-106.733333333333,40.7833333333333,2657
-106.716666666667,40.7833333333333,2699
-106.7,40.7833333333333,2884
-106.683333333333,40.7833333333333,3007
-106.666666666667,40.7833333333333,3078
-106.65,40.7833333333333,3262
-106.633333333333,40.7833333333333,3232
-106.616666666667,40.7833333333333,3250
-106.6,40.7833333333333,3011
-106.583333333333,40.7833333333333,2729
-106.566666666667,40.7833333333333,2607
-106.55,40.7833333333333,2540
-106.533333333333,40.7833333333333,2534
-106.516666666667,40.7833333333333,2670
-106.5,40.7833333333333,2588
-106.483333333333,40.7833333333333,2509
-106.466666666667,40.7833333333333,2458
-106.45,40.7833333333333,2463
-106.433333333333,40.7833333333333,2462
-106.416666666667,40.7833333333333,2461
-106.4,40.7833333333333,2462
-106.383333333333,40.7833333333333,2433
-106.366666666667,40.7833333333333,2433
-106.35,40.7833333333333,2433
-106.333333333333,40.7833333333333,2451
-106.316666666667,40.7833333333333,2458
-106.3,40.7833333333333,2444
-106.283333333333,40.7833333333333,2449
-106.266666666667,40.7833333333333,2469
-106.25,40.7833333333333,2486
-106.233333333333,40.7833333333333,2489
-106.216666666667,40.7833333333333,2483
-106.2,40.7833333333333,2461
-106.183333333333,40.7833333333333,2442
-106.166666666667,40.7833333333333,2446
-106.15,40.7833333333333,2449
-106.133333333333,40.7833333333333,2458
-106.116666666667,40.7833333333333,2481
-106.1,40.7833333333333,2510
-106.083333333333,40.7833333333333,2548
-106.066666666667,40.7833333333333,2691
-106.05,40.7833333333333,3019
-106.033333333333,40.7833333333333,3172
-106.016666666667,40.7833333333333,3035
-106,40.7833333333333,2989
-105.983333333333,40.7833333333333,2910
-105.966666666667,40.7833333333333,2941
-105.95,40.7833333333333,2867
-105.933333333333,40.7833333333333,2748
-105.916666666667,40.7833333333333,2704
-105.9,40.7833333333333,2574
-105.883333333333,40.7833333333333,2539
-105.866666666667,40.7833333333333,2614
-105.85,40.7833333333333,2897
-105.833333333333,40.7833333333333,3021
-105.816666666667,40.7833333333333,3067
-105.8,40.7833333333333,3098
-105.783333333333,40.7833333333333,3141
-105.766666666667,40.7833333333333,3166
-105.75,40.7833333333333,3197
-105.733333333333,40.7833333333333,3253
-105.716666666667,40.7833333333333,3198
-105.7,40.7833333333333,3195
-105.683333333333,40.7833333333333,3085
-105.666666666667,40.7833333333333,2963
-105.65,40.7833333333333,2792
-105.633333333333,40.7833333333333,2667
-105.616666666667,40.7833333333333,2596
-105.6,40.7833333333333,2554
-105.583333333333,40.7833333333333,2518
-105.566666666667,40.7833333333333,2507
-105.55,40.7833333333333,2498
-105.533333333333,40.7833333333333,2467
-105.516666666667,40.7833333333333,2447
-105.5,40.7833333333333,2431
-105.483333333333,40.7833333333333,2396
-105.466666666667,40.7833333333333,2368
-105.45,40.7833333333333,2243
-105.433333333333,40.7833333333333,2114
-105.416666666667,40.7833333333333,2174
-105.4,40.7833333333333,2170
-105.383333333333,40.7833333333333,2099
-105.366666666667,40.7833333333333,2009
-105.35,40.7833333333333,1938
-105.333333333333,40.7833333333333,1907
-105.316666666667,40.7833333333333,1849
-105.3,40.7833333333333,1841
-105.283333333333,40.7833333333333,1827
-105.266666666667,40.7833333333333,1784
-105.25,40.7833333333333,1766
-105.233333333333,40.7833333333333,1772
-105.216666666667,40.7833333333333,1839
-105.2,40.7833333333333,1870
-105.183333333333,40.7833333333333,1828
-105.166666666667,40.7833333333333,1737
-105.15,40.7833333333333,1703
-105.133333333333,40.7833333333333,1676
-105.116666666667,40.7833333333333,1666
-105.1,40.7833333333333,1674
-105.083333333333,40.7833333333333,1672
-105.066666666667,40.7833333333333,1666
-105.05,40.7833333333333,1655
