"","lon","lat","lon.ind","lat.ind","ind","elev","airpr"
"36",-108.8125,40.8125,2,31,36,2058,78.9243868044421
"37",-108.6875,40.8125,3,31,37,1960,79.8908040436043
"38",-108.5625,40.8125,4,31,38,2029,79.2093757678782
"39",-108.4375,40.8125,5,31,39,1988,79.6137124810991
"40",-108.3125,40.8125,6,31,40,2020,79.2979898448863
"41",-108.1875,40.8125,7,31,41,1907,80.4174367898869
"42",-108.0625,40.8125,8,31,42,1971,79.7818536667725
"43",-107.9375,40.8125,9,31,43,2057,78.9342001684444
"44",-107.8125,40.8125,10,31,44,2170,77.8315238485795
"45",-107.6875,40.8125,11,31,45,2117,78.3471443571331
"46",-107.5625,40.8125,12,31,46,2130,78.2204161401579
"47",-107.4375,40.8125,13,31,47,2549,74.2238614724823
"48",-107.3125,40.8125,14,31,48,2777,72.1196243510655
"49",-107.1875,40.8125,15,31,49,2724,72.6044026609887
"50",-107.0625,40.8125,16,31,50,2785,72.0466784940278
"51",-106.9375,40.8125,17,31,51,2520,74.4950315057052
"52",-106.8125,40.8125,18,31,52,2637,73.4058892117144
"53",-106.6875,40.8125,19,31,53,3005,70.063954679377
"54",-106.5625,40.8125,20,31,54,2591,73.8325500012671
"55",-106.4375,40.8125,21,31,55,2485,74.823373439194
"56",-106.3125,40.8125,22,31,56,2450,75.1528862339527
"57",-106.1875,40.8125,23,31,57,2469,74.9738623850688
"58",-106.0625,40.8125,24,31,58,2949,70.5644034210793
"59",-105.9375,40.8125,25,31,59,2844,71.5105457488296
"60",-105.8125,40.8125,26,31,60,3091,69.3010073030437
"61",-105.6875,40.8125,27,31,61,3056,69.6106930620098
"62",-105.5625,40.8125,28,31,62,2458,75.0774656307196
"63",-105.4375,40.8125,29,31,63,2319,76.3966523182798
"64",-105.3125,40.8125,30,31,64,1881,80.6768106698019
"65",-105.1875,40.8125,31,31,65,1816,81.3282101401388
"66",-105.0625,40.8125,32,31,66,1669,82.8170906712998
"67",-104.9375,40.8125,33,31,67,1688,82.6234178599914
"70",-108.8125,40.6875,2,30,70,1781,81.6807236592673
"71",-108.6875,40.6875,3,30,71,1859,80.8968095921083
"72",-108.5625,40.6875,4,30,72,2075,78.757710707142
"73",-108.4375,40.6875,5,30,73,1906,80.4274002064255
"74",-108.3125,40.6875,6,30,74,1929,80.1984943543652
"75",-108.1875,40.6875,7,30,75,1864,80.8467672325889
"76",-108.0625,40.6875,8,30,76,2007,79.4261296581076
"77",-107.9375,40.6875,9,30,77,2069,78.8165049868543
"78",-107.8125,40.6875,10,30,78,2125,78.2691381037964
"79",-107.6875,40.6875,11,30,79,2169,77.8412270368128
"80",-107.5625,40.6875,12,30,80,2038,79.1208418918269
"81",-107.4375,40.6875,13,30,81,2177,77.7636289507552
"82",-107.3125,40.6875,14,30,82,2397,75.6540988081777
"83",-107.1875,40.6875,15,30,83,2456,75.0963150331535
"84",-107.0625,40.6875,16,30,84,2649,73.2949153905175
"85",-106.9375,40.6875,17,30,85,2349,76.1103596493621
"86",-106.8125,40.6875,18,30,86,2747,72.3937041490932
"87",-106.6875,40.6875,19,30,87,3152,68.7639362250002
"88",-106.5625,40.6875,20,30,88,2572,74.0093644027528
"89",-106.4375,40.6875,21,30,89,2491,74.767003183967
"90",-106.3125,40.6875,22,30,90,2475,74.9174003368836
"91",-106.1875,40.6875,23,30,91,2509,74.598098711523
"92",-106.0625,40.6875,24,30,92,2656,73.2302434231933
"94",-105.8125,40.6875,26,30,94,2912,70.8966420973647
"95",-105.6875,40.6875,27,30,95,2805,71.8645751982807
"96",-105.5625,40.6875,28,30,96,2419,75.44572077582
"97",-105.4375,40.6875,29,30,97,2239,77.1643650477713
"98",-105.3125,40.6875,30,30,98,1970,79.7917532721445
"99",-105.1875,40.6875,31,30,99,1764,81.8523903556094
"100",-105.0625,40.6875,32,30,100,1598,83.5440716753033
"101",-104.9375,40.6875,33,30,101,1613,83.3900552657989
"104",-108.8125,40.5625,2,29,104,2181,77.7248534037655
"105",-108.6875,40.5625,3,29,105,2216,77.3862347281502
"106",-108.5625,40.5625,4,29,106,2073,78.7773048530327
"107",-108.4375,40.5625,5,29,107,1908,80.4074743728112
"108",-108.3125,40.5625,6,29,108,1859,80.8968095921083
"109",-108.1875,40.5625,7,29,109,1866,80.826757308675
"110",-108.0625,40.5625,8,29,110,1878,80.7067819630226
"111",-107.9375,40.5625,9,29,111,1936,80.128932165359
"112",-107.8125,40.5625,10,29,112,1988,79.6137124810991
"113",-107.6875,40.5625,11,29,113,2022,79.2782908939811
"114",-107.5625,40.5625,12,29,114,1938,80.1090662305254
"115",-107.4375,40.5625,13,29,115,1960,79.8908040436043
"116",-107.3125,40.5625,14,29,116,2111,78.4056903496857
"117",-107.1875,40.5625,15,29,117,2079,78.7185342543597
"118",-107.0625,40.5625,16,29,118,2258,76.9814701530304
"119",-106.9375,40.5625,17,29,119,2121,78.3081333653349
"120",-106.8125,40.5625,18,29,120,2589,73.8511459196757
"121",-106.6875,40.5625,19,29,121,3076,69.4335928707646
"122",-106.5625,40.5625,20,29,122,2601,73.7396272740465
"123",-106.4375,40.5625,21,29,123,2544,74.2705578128684
"124",-106.3125,40.5625,22,29,124,2546,74.2518764229609
"125",-106.1875,40.5625,23,29,125,2577,73.9628010905737
"126",-106.0625,40.5625,24,29,126,2761,72.26569548049
"127",-105.9375,40.5625,25,29,127,2977,70.3138185283145
"128",-105.8125,40.5625,26,29,128,3135,68.9132718227277
"130",-105.5625,40.5625,28,29,130,2993,70.1709509969147
"131",-105.4375,40.5625,29,29,131,2794,71.9646858290711
"132",-105.3125,40.5625,30,29,132,2076,78.7479151141855
"133",-105.1875,40.5625,31,29,133,1870,80.7867494915682
"134",-105.0625,40.5625,32,29,134,1510,84.4522810887341
"135",-104.9375,40.5625,33,29,135,1497,84.5871234553716
"138",-108.8125,40.4375,2,28,138,2045,79.0520376224721
"139",-108.6875,40.4375,3,28,139,2071,78.7969029460674
"140",-108.5625,40.4375,4,28,140,1899,80.4971721136036
"141",-108.4375,40.4375,5,28,141,1795,81.5395700903649
"142",-108.3125,40.4375,6,28,142,1886,80.6268785425842
"143",-108.1875,40.4375,7,28,143,1921,80.2780538670643
"144",-108.0625,40.4375,8,28,144,1974,79.7521608177241
"145",-107.9375,40.4375,9,28,145,1897,80.5171159437657
"146",-107.8125,40.4375,10,28,146,1929,80.1984943543652
"147",-107.6875,40.4375,11,28,147,1955,79.9403667521791
"148",-107.5625,40.4375,12,28,148,2023,79.2684429045699
"149",-107.4375,40.4375,13,28,149,2118,78.3373901342063
"150",-107.3125,40.4375,14,28,150,1982,79.67302363197
"151",-107.1875,40.4375,15,28,151,2014,79.3571104797527
"152",-107.0625,40.4375,16,28,152,2083,78.6793735828556
"153",-106.9375,40.4375,17,28,153,2078,78.7283268878704
"154",-106.8125,40.4375,18,28,154,2332,76.2724852938714
"155",-106.6875,40.4375,19,28,155,2996,70.1441895221168
"156",-106.5625,40.4375,20,28,156,2655,73.2394794456398
"157",-106.4375,40.4375,21,28,157,2598,73.7674941431974
"158",-106.3125,40.4375,22,28,158,2766,72.2200225422812
"159",-106.1875,40.4375,23,28,159,2657,73.2210083438931
"160",-106.0625,40.4375,24,28,160,2933,70.707919134424
"161",-105.9375,40.4375,25,28,161,3119,69.0540627602681
"164",-105.5625,40.4375,28,28,164,2895,71.0497163835755
"165",-105.4375,40.4375,29,28,165,2480,74.8703749358312
"166",-105.3125,40.4375,30,28,166,2072,78.787103406119
"167",-105.1875,40.4375,31,28,167,1710,82.3996234743043
"168",-105.0625,40.4375,32,28,168,1517,84.3797457881545
"169",-104.9375,40.4375,33,28,169,1499,84.5663671363789
"172",-108.8125,40.3125,2,27,172,2044,79.06186383645
"173",-108.6875,40.3125,3,27,173,1941,80.0792748062367
"174",-108.5625,40.3125,4,27,174,1775,81.7412785832043
"175",-108.4375,40.3125,5,27,175,1796,81.5294952556914
"176",-108.3125,40.3125,6,27,176,1854,80.9468770303664
"177",-108.1875,40.3125,7,27,177,2066,78.8459154514009
"178",-108.0625,40.3125,8,27,178,2330,76.2915772693563
"179",-107.9375,40.3125,9,27,179,2254,77.0199451403845
"180",-107.8125,40.3125,10,27,180,2034,79.1601803833865
"181",-107.6875,40.3125,11,27,181,2008,79.4162668006573
"182",-107.5625,40.3125,12,27,182,2315,76.4348904678815
"183",-107.4375,40.3125,13,27,183,2271,76.8565339124487
"184",-107.3125,40.3125,14,27,184,2337,76.2247722803723
"185",-107.1875,40.3125,15,27,185,2431,75.3322560689067
"186",-107.0625,40.3125,16,27,186,2396,75.6635815981012
"187",-106.9375,40.3125,17,27,187,2375,75.8629426250947
"188",-106.8125,40.3125,18,27,188,2534,74.3640218597066
"189",-106.6875,40.3125,19,27,189,2889,71.1038064536511
"190",-106.5625,40.3125,20,27,190,2527,74.4295033419282
"191",-106.4375,40.3125,21,27,191,2580,73.934874491616
"192",-106.3125,40.3125,22,27,192,2988,70.2155718266848
"193",-106.1875,40.3125,23,27,193,2903,70.9776481237941
"194",-106.0625,40.3125,24,27,194,2917,70.8516711072128
"195",-105.9375,40.3125,25,27,195,3163,68.6674470223413
"196",-105.8125,40.3125,26,27,196,3006,70.0550442861773
"198",-105.5625,40.3125,28,27,198,2868,71.2933843474344
"199",-105.4375,40.3125,29,27,199,2597,73.7767849943359
"200",-105.3125,40.3125,30,27,200,1896,80.5270893591538
"201",-105.1875,40.3125,31,27,201,1704,82.4606095686728
"202",-105.0625,40.3125,32,27,202,1528,84.2658636733115
"203",-104.9375,40.3125,33,27,203,1511,84.4419158128505
"206",-108.8125,40.1875,2,26,206,1816,81.3282101401388
"207",-108.6875,40.1875,3,26,207,1717,82.3285191964221
"208",-108.5625,40.1875,4,26,208,1733,82.1661816863144
"209",-108.4375,40.1875,5,26,209,1770,81.7917687837618
"210",-108.3125,40.1875,6,26,210,1815,81.3382648294187
"211",-108.1875,40.1875,7,26,211,1939,80.0991347587775
"212",-108.0625,40.1875,8,26,212,2207,77.4731937855906
"213",-107.9375,40.1875,9,26,213,2365,75.9580258264409
"214",-107.8125,40.1875,10,26,214,2295,76.6263137532547
"215",-107.6875,40.1875,11,26,215,2179,77.7442392197611
"216",-107.5625,40.1875,12,26,216,2583,73.9069564314787
"217",-107.4375,40.1875,13,26,217,2464,75.0209404085733
"218",-107.3125,40.1875,14,26,218,2645,73.3318915593637
"219",-107.1875,40.1875,15,26,219,2711,72.7237125929296
"220",-107.0625,40.1875,16,26,220,2584,73.8976523086033
"221",-106.9375,40.1875,17,26,221,2380,75.8154371794533
"222",-106.8125,40.1875,18,26,222,2582,73.91626150289
"223",-106.6875,40.1875,19,26,223,2922,70.8067232183166
"224",-106.5625,40.1875,20,26,224,2702,72.8064047377577
"225",-106.4375,40.1875,21,26,225,2384,75.7774501688276
"226",-106.3125,40.1875,22,26,226,2670,73.1010381057842
"227",-106.1875,40.1875,23,26,227,2730,72.5493900225851
"228",-106.0625,40.1875,24,26,228,2845,71.501486676406
"229",-105.9375,40.1875,25,26,229,2754,72.3296768841538
"230",-105.8125,40.1875,26,26,230,2892,71.0767572522089
"232",-105.5625,40.1875,28,26,232,2799,71.9191670075063
"233",-105.4375,40.1875,29,26,233,2488,74.7951840114632
"234",-105.3125,40.1875,30,26,234,1831,81.1775105329947
"235",-105.1875,40.1875,31,26,235,1617,83.3490230773862
"236",-105.0625,40.1875,32,26,236,1538,84.1624425077211
"237",-104.9375,40.1875,33,26,237,1495,84.6078838993897
"240",-108.8125,40.0625,2,25,240,1721,82.2879104926312
"241",-108.6875,40.0625,3,25,241,1878,80.7067819630226
"242",-108.5625,40.0625,4,25,242,2296,76.6167333789133
"243",-108.4375,40.0625,5,25,243,2074,78.7675072867324
"244",-108.3125,40.0625,6,25,244,1934,80.1488020891535
"245",-108.1875,40.0625,7,25,245,1941,80.0792748062367
"246",-108.0625,40.0625,8,25,246,1929,80.1984943543652
"247",-107.9375,40.0625,9,25,247,1972,79.7719550559628
"248",-107.8125,40.0625,10,25,248,2035,79.1503442760557
"249",-107.6875,40.0625,11,25,249,2208,77.4635277625662
"250",-107.5625,40.0625,12,25,250,2511,74.579350636263
"251",-107.4375,40.0625,13,25,251,2553,74.1865215195788
"252",-107.3125,40.0625,14,25,252,2926,70.7707815340021
"254",-107.0625,40.0625,16,25,254,3135,68.9132718227277
"255",-106.9375,40.0625,17,25,255,2810,71.8191076604143
"256",-106.8125,40.0625,18,25,256,2587,73.8697456304527
"257",-106.6875,40.0625,19,25,257,2743,72.4303117580829
"258",-106.5625,40.0625,20,25,258,2836,71.5830517914504
"259",-106.4375,40.0625,21,25,259,2538,74.3266248191384
"260",-106.3125,40.0625,22,25,260,2327,76.3202224881209
"261",-106.1875,40.0625,23,25,261,2385,75.767955824699
"262",-106.0625,40.0625,24,25,262,2744,72.4211584508925
"263",-105.9375,40.0625,25,25,263,2564,74.0839150722816
"264",-105.8125,40.0625,26,25,264,2923,70.797736411889
"266",-105.5625,40.0625,28,25,266,3024,69.8948140481919
"267",-105.4375,40.0625,29,25,267,2571,74.0186799129421
"268",-105.3125,40.0625,30,25,268,1781,81.6807236592673
"269",-105.1875,40.0625,31,25,269,1595,83.5749025795122
"270",-105.0625,40.0625,32,25,270,1560,83.9352777055168
"271",-104.9375,40.0625,33,25,271,1559,83.9455925956285
"274",-108.8125,39.9375,2,24,274,1804,81.4489328599104
"275",-108.6875,39.9375,3,24,275,1960,79.8908040436043
"276",-108.5625,39.9375,4,24,276,2235,77.2029140329689
"277",-108.4375,39.9375,5,24,277,2025,79.2487498974488
"278",-108.3125,39.9375,6,24,278,1950,79.9899543553996
"279",-108.1875,39.9375,7,24,279,2049,79.0127426549633
"280",-108.0625,39.9375,8,24,280,2242,77.1354635384557
"281",-107.9375,39.9375,9,24,281,2091,78.6010995642278
"282",-107.8125,39.9375,10,24,282,2204,77.5021977147721
"283",-107.6875,39.9375,11,24,283,2287,76.7029916745551
"284",-107.5625,39.9375,12,24,284,2689,72.9259833468035
"285",-107.4375,39.9375,13,24,285,2998,70.126353130656
"288",-107.0625,39.9375,16,24,288,3007,70.0461348105779
"289",-106.9375,39.9375,17,24,289,2661,73.1840774566819
"290",-106.8125,39.9375,18,24,290,2548,74.2331988381564
"291",-106.6875,39.9375,19,24,291,2390,75.7204985514842
"292",-106.5625,39.9375,20,24,292,2307,76.5114132601434
"293",-106.4375,39.9375,21,24,293,2638,73.3966362000304
"294",-106.3125,39.9375,22,24,294,2676,73.0457209370131
"295",-106.1875,39.9375,23,24,295,2546,74.2518764229609
"296",-106.0625,39.9375,24,24,296,2877,71.2120866267986
"297",-105.9375,39.9375,25,24,297,2948,70.573366237124
"298",-105.8125,39.9375,26,24,298,2683,72.981227085138
"300",-105.5625,39.9375,28,24,300,2766,72.2200225422812
"301",-105.4375,39.9375,29,24,301,2547,74.2425371549578
"302",-105.3125,39.9375,30,24,302,2011,79.3866841784205
"303",-105.1875,39.9375,31,24,303,1707,82.4301119545024
"304",-105.0625,39.9375,32,24,304,1613,83.3900552657989
"305",-104.9375,39.9375,33,24,305,1587,83.6571633679338
"308",-108.8125,39.8125,2,23,308,2018,79.3176927590766
"309",-108.6875,39.8125,3,23,309,2067,78.8361109760018
"310",-108.5625,39.8125,4,23,310,2393,75.6920357428067
"311",-108.4375,39.8125,5,23,311,2238,77.174000832551
"312",-108.3125,39.8125,6,23,312,2094,78.5717630687303
"313",-108.1875,39.8125,7,23,313,2093,78.5815409152712
"314",-108.0625,39.8125,8,23,314,2220,77.3476116362806
"315",-107.9375,39.8125,9,23,315,2326,76.3297728294858
"316",-107.8125,39.8125,10,23,316,2815,71.7736634187018
"317",-107.6875,39.8125,11,23,317,2727,72.5768921211254
"318",-107.5625,39.8125,12,23,318,2910,70.9146369638113
"319",-107.4375,39.8125,13,23,319,3198,68.3611650318591
"320",-107.3125,39.8125,14,23,320,3191,68.4223327601256
"321",-107.1875,39.8125,15,23,321,2935,70.6899667559145
"322",-107.0625,39.8125,16,23,322,2308,76.5018445200285
"323",-106.9375,39.8125,17,23,323,2243,77.1258316501072
"324",-106.8125,39.8125,18,23,324,2864,71.3295407825428
"325",-106.6875,39.8125,19,23,325,2579,73.9441824090788
"326",-106.5625,39.8125,20,23,326,2680,73.0088616589488
"327",-106.4375,39.8125,21,23,327,3032,69.8236959292908
"328",-106.3125,39.8125,22,23,328,3162,68.6762142351117
"329",-106.1875,39.8125,23,23,329,2752,72.3479657076008
"330",-106.0625,39.8125,24,23,330,3104,69.1862657071917
"334",-105.5625,39.8125,28,23,334,2729,72.5585564509628
"335",-105.4375,39.8125,29,23,335,2600,73.7489152831266
"336",-105.3125,39.8125,30,23,336,2224,77.3090041548649
"337",-105.1875,39.8125,31,23,337,1801,81.4791362008173
"338",-105.0625,39.8125,32,23,338,1626,83.2567604258181
"339",-104.9375,39.8125,33,23,339,1586,83.6674505746493
"342",-108.8125,39.6875,2,22,342,2190,77.6376656636758
"343",-108.6875,39.6875,3,22,343,2295,76.6263137532547
"344",-108.5625,39.6875,4,22,344,2531,74.3920796376108
